jobTitle,jobCompany,jobLocation,jobSubClassification,jobClassification,jobSalary
"('ERP Consultant/Business Analyst', 'ERP Consultant/Business Analyst', 'ERP Consultant/Business Analyst', 'ERP Consultant/Business Analyst', 'ERP Consultant/Business Analyst', 'ERP Consultant/Business Analyst', 'ERP Consultant/Business Analyst', 'ERP Consultant/Business Analyst')","('Capsuite Limited', 'Capsuite Limited', 'Capsuite Limited', 'Capsuite Limited', 'Capsuite Limited', 'Capsuite Limited', 'Capsuite Limited', 'Capsuite Limited')","('Kwun Tong', 'Kwun Tong District')",Business/Systems Analysts,(Information & Communication Technology),
,,"('Kwun Tong', 'Kwun Tong District')",Business/Systems Analysts,(Information & Communication Technology),
"('Senior Data Analyst', 'Senior Data Analyst', 'Senior Data Analyst', 'Senior Data Analyst', 'Senior Data Analyst', 'Senior Data Analyst', 'Senior Data Analyst', 'Senior Data Analyst')","('IMiracle (HK) Limited', 'IMiracle (HK) Limited', 'IMiracle (HK) Limited', 'IMiracle (HK) Limited', 'IMiracle (HK) Limited', 'IMiracle (HK) Limited', 'IMiracle (HK) Limited', 'IMiracle (HK) Limited')","('Hung Hom', 'Kowloon City District')",Market Research & Analysis,(Marketing & Communications),"$35,000 – $50,000 per month"
,,"('Hung Hom', 'Kowloon City District')",Market Research & Analysis,(Marketing & Communications),"$35,000 – $50,000 per month"
,,"('Hung Hom', 'Kowloon City District')",Market Research & Analysis,(Marketing & Communications),"('$35,000 – $50,000 per month', '$35,000 – $50,000 per month')"
,,,Market Research & Analysis,(Marketing & Communications),
"('Financial Analyst - Budget Preparation & Forecast, Finance Department (MJ002919)', 'Financial Analyst - Budget Preparation & Forecast, Finance Department (MJ002919)', 'Financial Analyst - Budget Preparation & Forecast, Finance Department (MJ002919)', 'Financial Analyst - Budget Preparation & Forecast, Finance Department (MJ002919)', 'Financial Analyst - Budget Preparation & Forecast, Finance Department (MJ002919)', 'Financial Analyst - Budget Preparation & Forecast, Finance Department (MJ002919)', 'Financial Analyst - Budget Preparation & Forecast, Finance Department (MJ002919)', 'Financial Analyst - Budget Preparation & Forecast, Finance Department (MJ002919)')","('KPMG', 'KPMG', 'KPMG', 'KPMG', 'KPMG', 'KPMG', 'KPMG', 'KPMG')","('Aberdeen', 'Southern District')",Analysis & Reporting,(Accounting),
,,"('Aberdeen', 'Southern District')",Analysis & Reporting,(Accounting),
,,,Analysis & Reporting,(Accounting),
"('Financial Analyst - Report & Presentation, Finance Department (MJ004045)', 'Financial Analyst - Report & Presentation, Finance Department (MJ004045)', 'Financial Analyst - Report & Presentation, Finance Department (MJ004045)', 'Financial Analyst - Report & Presentation, Finance Department (MJ004045)', 'Financial Analyst - Report & Presentation, Finance Department (MJ004045)', 'Financial Analyst - Report & Presentation, Finance Department (MJ004045)', 'Financial Analyst - Report & Presentation, Finance Department (MJ004045)', 'Financial Analyst - Report & Presentation, Finance Department (MJ004045)')","('KPMG', 'KPMG', 'KPMG', 'KPMG', 'KPMG', 'KPMG', 'KPMG', 'KPMG')","('Aberdeen', 'Southern District')",Analysis & Reporting,(Accounting),
"('Core Business Services – Finance – Financial Analyst', 'Core Business Services – Finance – Financial Analyst', 'Core Business Services – Finance – Financial Analyst', 'Core Business Services – Finance – Financial Analyst', 'Core Business Services – Finance – Financial Analyst', 'Core Business Services – Finance – Financial Analyst', 'Core Business Services – Finance – Financial Analyst', 'Core Business Services – Finance – Financial Analyst')","('EY', 'EY', 'EY', 'EY', 'EY', 'EY', 'EY', 'EY')",Eastern District,Financial Accounting & Reporting,(Accounting),
,,Eastern District,Financial Accounting & Reporting,(Accounting),
,,,Financial Accounting & Reporting,(Accounting),
"('Officer, Business Process Analytics (Supply Chain)', 'Officer, Business Process Analytics (Supply Chain)', 'Officer, Business Process Analytics (Supply Chain)', 'Officer, Business Process Analytics (Supply Chain)', 'Officer, Business Process Analytics (Supply Chain)', 'Officer, Business Process Analytics (Supply Chain)', 'Officer, Business Process Analytics (Supply Chain)', 'Officer, Business Process Analytics (Supply Chain)')","(""Maxim's Caterers Limited"", ""Maxim's Caterers Limited"", ""Maxim's Caterers Limited"", ""Maxim's Caterers Limited"", ""Maxim's Caterers Limited"", ""Maxim's Caterers Limited"", ""Maxim's Caterers Limited"", ""Maxim's Caterers Limited"")","('Lai Chi Kok', 'Sham Shui Po District')",Business/Systems Analysts,(Information & Communication Technology),
,,"('Lai Chi Kok', 'Sham Shui Po District')",Business/Systems Analysts,(Information & Communication Technology),
"('Senior Financial Analyst (Business Planning & Development)', 'Senior Financial Analyst (Business Planning & Development)', 'Senior Financial Analyst (Business Planning & Development)', 'Senior Financial Analyst (Business Planning & Development)', 'Senior Financial Analyst (Business Planning & Development)', 'Senior Financial Analyst (Business Planning & Development)', 'Senior Financial Analyst (Business Planning & Development)', 'Senior Financial Analyst (Business Planning & Development)')","('Hong Kong Disneyland', 'Hong Kong Disneyland', 'Hong Kong Disneyland', 'Hong Kong Disneyland', 'Hong Kong Disneyland', 'Hong Kong Disneyland', 'Hong Kong Disneyland', 'Hong Kong Disneyland')","('Lantau Island', 'Islands District')",Strategy & Planning,(Consulting & Strategy),
,,"('Lantau Island', 'Islands District')",Strategy & Planning,(Consulting & Strategy),
,,,Strategy & Planning,(Consulting & Strategy),
"('Assistant Project Manager (Infrastructure Delivery)', 'Assistant Project Manager (Infrastructure Delivery)', 'Assistant Project Manager (Infrastructure Delivery)', 'Assistant Project Manager (Infrastructure Delivery)', 'Assistant Project Manager (Infrastructure Delivery)', 'Assistant Project Manager (Infrastructure Delivery)', 'Assistant Project Manager (Infrastructure Delivery)', 'Assistant Project Manager (Infrastructure Delivery)')","('Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire')","('Airport Area', 'Islands District')",Programme & Project Management,(Information & Communication Technology),
,,"('Airport Area', 'Islands District')",Programme & Project Management,(Information & Communication Technology),
,,,Programme & Project Management,(Information & Communication Technology),
"('Business analyst', 'Business analyst', 'Business analyst', 'Business analyst', 'Business analyst', 'Business analyst', 'Business analyst', 'Business analyst')","('Manulife (International) Limited', 'Manulife (International) Limited', 'Manulife (International) Limited', 'Manulife (International) Limited', 'Manulife (International) Limited', 'Manulife (International) Limited', 'Manulife (International) Limited', 'Manulife (International) Limited')","('Ngau Tau Kok', 'Kwun Tong District')",Business/Systems Analysts,(Information & Communication Technology),"$20,000 – $25,000 per year"
,,"('Ngau Tau Kok', 'Kwun Tong District')",Business/Systems Analysts,(Information & Communication Technology),"$20,000 – $25,000 per year"
,,"('Ngau Tau Kok', 'Kwun Tong District')",Business/Systems Analysts,(Information & Communication Technology),"('$20,000 – $25,000 per year', '$20,000 – $25,000 per year')"
"('Business Analyst - Banking Institution', 'Business Analyst - Banking Institution', 'Business Analyst - Banking Institution', 'Business Analyst - Banking Institution', 'Business Analyst - Banking Institution', 'Business Analyst - Banking Institution', 'Business Analyst - Banking Institution', 'Business Analyst - Banking Institution')","('TEKsystems', 'TEKsystems', 'TEKsystems', 'TEKsystems', 'TEKsystems', 'TEKsystems', 'TEKsystems', 'TEKsystems')",Central and Western District,Business/Systems Analysts,(Information & Communication Technology),
,,Central and Western District,Business/Systems Analysts,(Information & Communication Technology),
"('Service Centre Analyst at Optimum Solutions (Hong Kong) Limited', 'Service Centre Analyst at Optimum Solutions (Hong Kong) Limited', 'Service Centre Analyst at Optimum Solutions (Hong Kong) Limited', 'Service Centre Analyst at Optimum Solutions (Hong Kong) Limited', 'Service Centre Analyst at Optimum Solutions (Hong Kong) Limited', 'Service Centre Analyst at Optimum Solutions (Hong Kong) Limited', 'Service Centre Analyst at Optimum Solutions (Hong Kong) Limited', 'Service Centre Analyst at Optimum Solutions (Hong Kong) Limited')","('Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire')","('Airport Area', 'Islands District')",Help Desk & IT Support,(Information & Communication Technology),
,,"('Airport Area', 'Islands District')",Help Desk & IT Support,(Information & Communication Technology),
,,,Help Desk & IT Support,(Information & Communication Technology),
"('Market Research Analyst / Business Analyst', 'Market Research Analyst / Business Analyst', 'Market Research Analyst / Business Analyst', 'Market Research Analyst / Business Analyst', 'Market Research Analyst / Business Analyst', 'Market Research Analyst / Business Analyst', 'Market Research Analyst / Business Analyst', 'Market Research Analyst / Business Analyst')","('Thyssenkrupp Materials Services GmbH', 'Thyssenkrupp Materials Services GmbH', 'Thyssenkrupp Materials Services GmbH', 'Thyssenkrupp Materials Services GmbH', 'Thyssenkrupp Materials Services GmbH', 'Thyssenkrupp Materials Services GmbH', 'Thyssenkrupp Materials Services GmbH', 'Thyssenkrupp Materials Services GmbH')","('Wan Chai', 'Wan Chai District')",Analysis & Reporting,"(Mining, Resources & Energy)",
,,"('Wan Chai', 'Wan Chai District')",Analysis & Reporting,"(Mining, Resources & Energy)",
,,,Analysis & Reporting,"(Mining, Resources & Energy)",
